[03:07:01.339] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -3.079999		 /		
[03:07:01.441] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -3.079999		 /		
[03:07:01.544] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -3.079999		 /		
[03:07:01.645] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -3.079999		 /		
[03:07:01.735] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -3.079999		 /		
[03:07:01.835] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -3.079999		 /		
[03:07:01.943] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -2.6		 /		
[03:07:02.044] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -2.2		 /		
[03:07:02.148] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -1.8		 /		
[03:07:02.249] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -1.48		 /		
[03:07:02.349] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -1.399999		 /		
[03:07:02.434] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -1.399999		 /		
[03:07:02.535] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -1.64		 /		
[03:07:02.638] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -2.04		 /		
[03:07:02.739] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -2.44		 /		
[03:07:02.840] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -2.76		 /		
[03:07:02.941] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -3.16		 /		
[03:07:03.041] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -3.48		 /		
[03:07:03.141] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -3.88		 /		
[03:07:03.233] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -4.28		 /		
[03:07:03.334] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -4.6		 /		
[03:07:03.435] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -4.92		 /		
[03:07:03.538] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -5.32		 /		
[03:07:03.640] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -5.64		 /		
[03:07:03.740] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -5.88		 /		
